"","NAME","Description","Status","Long","Lat","Elev","country","continent","city","pname","citiname","countryname"
"1","Legend - In Operation - January 2017","1,173 Cities - January 2017<br><br>Approximately 1,901,450 public use bicycles and pedelecs in use in these cities.<br>Pedelec: Electric assisted bicycle that must be pedaled for the assistance to engage","operation",-8.701172,-67.187,"0",NA,NA,"Legend","In Operation","Legend","Legend"
"2","Legend - In Planning or Under Construction - January 2017","365 Cities - January 2017","planning",6.679688,-67.067433,"0",NA,NA,"Legend","In Planning or Under Construction","Legend","Legend"
"3","Legend - No Longer Operating - January 2017","141 Cities - January 2017","stopped",20.742188,-67.204032,"0",NA,NA,"Legend","No Longer Operating","Legend","Legend"
"28","Algeciras-Cádiz, Spain - Tubici","Ends 2014<br>Launched 2008. <br>3 stations, 50 bikes.<br>","stopped",-5.447159,36.129002,"0",NA,NA,"Algeciras-Cádiz, Spain","Tubici","Algeciras-Cádiz","Spain"
"80","Athens, (Keratsini-Drapetsona District) Greece - EasyBike Keratsini-Drapetsona","Contract wends 2015<br>http://keratsini-drapetsona.easybike.gr/el/<br>CityBik,es Map (https://citybik.es/map/easybike-drapetsona)<br>70 Bikes in 6 Stations<br>Launch: March 22, 2013<br>Operator: EasyBike <br>Equipment EasyBike - CallLock <br>Source (http://eubooce.gr/2013/01/30/erxontai-ta-koinoxrista-podilata/)","stopped",23.625262,37.94726,"0",NA,NA,"Athens, (Keratsini-Drapetsona District) Greece","EasyBike Keratsini-Drapetsona","Athens","(Keratsini-Drapetsona District) Greece"
"120","Batumi, Georgia - Batumivelo","http://cli-velo-batumi.gir.fr/<br>CityBik.es Map (https://citybik.es/map/batumvelo)<br>120 bikes in 10 stations in 2011<br>Launched: July 2011<br>Operator: Batumi City Government<br>equipment<br>Smoove<br>Photo (http://www.facebook.com/photo.php?fbid=10150305141131823&set=a.87800971822.102951.8085941822&type=1&theater)","operation",41.646209,41.654894,"0",NA,NA,"Batumi, Georgia","Batumivelo","Batumi","Georgia"
"122","Bayonne, New Jersey USA","Considering in December 2016 a program to link with regional rail system Source: http://www.nj.com/hudson/index.ssf/2016/12/bayonne_council_to_consider_request_for_proposals.html","planning",-74.1082764,40.6721107,"0",NA,NA,"Bayonne, New Jersey USA","Bayonne, New Jersey USA","Bayonne","New Jersey USA"
"143","Benidorm, Finestrat, La Nucia, Villajoyosa and Alfas del Pi,  Spain - Bicidorm","http://bicidorm.labici.net/<br>CityBik.es Map (https://citybik.es/map/onroll-benidorm)<br>150 bikes in 20 stations<br>Launched 2011 50 bikes in 10 stations<br>New operator Impursa October 2014 (http://portal.benidorm.org/nuevociudadano/content/benidorm-invierte-50000-euros-para-relanzar-el-servicio-bicidorm-e-incorporar-150-nuevas-bic)<br>System: Onroll","operation",-0.127544,38.538767,"0",NA,NA,"Benidorm, Finestrat, La Nucia, Villajoyosa and Alfas del Pi,  Spain","Bicidorm","Benidorm"," Spain"
"166","Blackpool, England - Cycle Blackpool","Did not reopen in 2014 In negotiations to reopen Source (http://www.blackpoolgazette.co.uk/news/business/local-business/council-cycle-hire-scheme-scaled-back-after-losses-1-7264722)<br>www.hourbike.com (http://www.hourbike.com/mysitecaddy/site3/locukblackpool.htm)<br>OBrien Bike Share Map (http://bikes.oobrien.com/blackpool/)<br>33 stations <br>Launch: September 2009<br>Operator: Hourbike","stopped",-3.053427,53.814183,"0",NA,NA,"Blackpool, England","Cycle Blackpool","Blackpool","England"
"214","Cádiz (Universidad), Spain - Tubici","Tubici launched 2008. Ends 2014 3 stations, 50 bikes. GREEN POWER / ITCL","stopped",-6.292419,36.530329,"0",NA,NA,"Cádiz (Universidad), Spain","Tubici","Cádiz (Universidad)","Spain"
"227","Capo D'orlando, Italy - Biciclando","http://www.biciclando.info/home/<br>Did not open for 2016 Dispute between City and Operator<br>(http://www.98zero.com/83308-fine-bike-sharing-antonio-librizzi-comune-si-costituisce-la-t-m-r-non-avrebbe-responsabilita-sul-mancato-servizio.html)<br>40 bikes in 5 stations (10 pedelec) <br>Launched: July 4, 2012 <br>System enBici<br>Equipment: TMRtech<br>","stopped",14.742537,38.159464,"0",NA,NA,"Capo D'orlando, Italy","Biciclando","Capo D'orlando","Italy"
"295","Chipiona  (Cádiz), Spain - Enbici","Enbici launched 2010. 6 stations 60 bikes.","operation",-6.432495,36.742186,"0",NA,NA,"Chipiona  (Cádiz), Spain","Enbici","Chipiona  (Cádiz)","Spain"
"300","Chumenzhen (Truman) Yuhuan, Taizhou, Zhejiang -","576 Bikes in 22 stations<br>Launch: December 31, 2015<br>Source: http://yhnews.zjol.com.cn/yuhuan/system/2015/12/31/020068516.shtml","operation",121.2928391,28.2151721,"0",NA,NA,"Chumenzhen (Truman) Yuhuan, Taizhou, Zhejiang -","Chumenzhen (Truman) Yuhuan, Taizhou, Zhejiang -","Chumenzhen (Truman) Yuhuan","Zhejiang -"
"307","Civitavecchia, Italy - Bicivita","www.bicincitta.com <br>CityBik.es Map (https://citybik.es/map/civitavecchia)<br>28 pedelec bikes in 4 stations<br>re-launched July 13, 2013 with 40 bikes in 4 stations (electric assist)<br>Original service began in december 2012<br>Source (http://www.civonline.it/articolo/bike-sharing-completate-le-prime-due-stazioni) Source II (http://www.bignotizie.it/news/civitavecchia/comune/18949-bike-sharing-il-servizio-inaugurato-il-13-luglio.html)","operation",11.794252,42.093064,"0",NA,NA,"Civitavecchia, Italy","Bicivita","Civitavecchia","Italy"
"332","Copenhagen, Denmark - Bycyklen - gobike","https://bycyklen.dk/en/<br>CityBik.es Map (https://citybik.es/map/bycyklen)<br>1,860 bikes in 90 stations - November 2015<br>Launch: April 1, 2014 with 250 bikes in 10 stations<br>Equipment: gobike<br>http://www.gobike.dk/<br>Serious under use (Febraury 2015: http://www.copenhagenize.com/2015/02/watching-copenhagen-bike-share-die.html)<br>Upgrade to 3rd or 4th generation system delayed by funding to 2014 or possibly later<br>Source (http://cphpost.dk/news/local/city-delays-new-bicycle-sharing-scheme)","operation",12.5843672,55.6780446,"0",NA,NA,"Copenhagen, Denmark","Bycyklen","Copenhagen","Denmark"
"336","Corfou, Greece","In political dispute with current administration -hopes to re-launch summer 2013<br>Launch: June 2010<br>Fleet: 100 bikes and 8 stations<br>System: Smoove<br>Maintenance: BrainBox","planning",19.920273,39.61997,"0",NA,NA,"Corfou, Greece","Corfou, Greece","Corfou","Greece"
"338","Corpus Christi, Texas USA -","http://bike.zagster.com/corpuschristi/<br>40 bikes in 7 stations<br>Launch: August 26, 2016<br>Equipment: Zagster<br>July 2016 City considering<br>a program Source: http://www.caller.com/news/building-our-future/downtown/bike-share-program-riding-into-downtown-383b38dc-0759-4d88-e053-0100007fbcf7-388187762.html","operation",-97.3941422,27.7953507,"0",NA,NA,"Corpus Christi, Texas USA -","Corpus Christi, Texas USA -","Corpus Christi","Texas USA -"
"352","Daishan, Zhoushan, Zhejiang, China","225 Bikes in 13 Stations <br>Launch: May 10, 2014 Source (http://www.daishan.gov.cn/art/2014/5/12/art_49_30050.html)<br>Planning in June 2013 a program of 250 bikes in 15 stations. <br>Source (http://www.zhoushan.gov.cn/web/zhzf/zwgk/zzjg/qx/dsx/bmdt/201306/t20130603_484967.shtml)","operation",122.205734,30.245759,"0",NA,NA,"Daishan, Zhoushan, Zhejiang, China","Daishan, Zhoushan, Zhejiang, China","Daishan","China"
"366","Davao, Philippines - ADB Tutubi- Bikes","Designated City for ADB System for 2012-2013 <br>Source (http://www.rappler.com/business/15583-don-t-have-a-car-share-a-bike)","planning",125.612547,7.075894,"0",NA,NA,"Davao, Philippines","ADB Tutubi- Bikes","Davao","Philippines"
"390","Djurgården, Sweden - Djurgårdscykeln","http://djurgardscykeln.se/en/<br><br><br> <br>Operator: JCDecaux Cyclocity","operation",18.098688,59.3229,"0",NA,NA,"Djurgården, Sweden","Djurgårdscykeln","Djurgården","Sweden"
"405","Dubai, United Arab Emirates - BYKY","www.bykystations.com (http://www.bykystations.com)<br>http://bikes.oobrien.com/dubai/<br>CityBik.es (https://citybik.es/map/bykystations-uae-dubai)<br>250 bikes in 27 stations<br>Launched: February 16, 2013 with 100 bikes in 10 stations<br>Operator & Equipment: nextbike<br>Source (http://www.nextbike.net/blog/uncategorized/bike-sharing-system-in-dubai/)","operation",55.217285,25.175117,"0",NA,NA,"Dubai, United Arab Emirates","BYKY","Dubai","United Arab Emirates"
"430","Ermoupolis, Syros, Greece - Ermoupolis Public Bicycles","http://syros.cyclopolis.gr/index.php/en/<br>60 bikes in 3 stations<br>Launch: July 1, 2016<br>Operator: Cyclopolis<br>Equipment: Cyclopolis BSS","operation",24.9435568,37.4441992,"0",NA,NA,"Ermoupolis, Syros, Greece","Ermoupolis Public Bicycles","Ermoupolis","Greece"
"441","Fangchenggang, Guangxi, China","60 bikes in 3 stations<br>Launch: January 1, 2015<br>(http://www.fcgsnews.com/news/hot/2016-1-8/78019.shtml)<br>Source: http://www.gxnews.com.cn/staticpages/20151125/newgx56553096-13983936.shtml","operation",108.3554077,21.6811982,"0",NA,NA,"Fangchenggang, Guangxi, China","Fangchenggang, Guangxi, China","Fangchenggang","China"
"455","Florianópolis, Santa Catarina, Brazil - Floripa Bike","New Tender to be released in 2015<br>850 bikes in 85 stations<br>Source: http://www.ndonline.com.br/florianopolis/noticias/249212-edital-de-licitacao-do-floripa-bike-sai-ate-o-final-do-mes.html<br>(May 2015: http://www.floripanews.com.br/noticia/7912-florianopolis-tera-bicicletas-publicas-e-zona-30)<br>Original tender process March 2013 68 stations in city center 111 stations total with 664 bikes<br>Source (http://www.ndonline.com.br/florianopolis/noticias/57430-edital-de-licitacao-do-projeto-floribike-sera-lancado-no-dia-do-aniversario-de-florianopolis.html)","planning",-48.553391,-27.592284,"0",NA,NA,"Florianópolis, Santa Catarina, Brazil","Floripa Bike","Florianópolis","Brazil"
"491","Gaeta, Italy -Bike Gaeta","http://bicincitta.tobike.it/<br>CityBik.es Map (https://citybik.es/map/bicincitta-gaeta)<br>Adding 20 pedelcs August 1, 2016 from Enel Energia to the 20 bikes in 4 stations<br>Launch : July 10, 2015<br>Source: http://ow.ly/PtqZ4<br>Construction began April 2015 for 12 bikes<br>plus 2<br>pedecs 2 stations<br>Source: http://www.temporeale.info/5928/citta/gaeta/gaeta-partono-i-lavori-di-installazione-delle-colonnine-del-bike-sharing.html<br>Equipment: Bicincittà","operation",13.570862,41.211205,"0",NA,NA,"Gaeta, Italy -Bike Gaeta","Gaeta, Italy -Bike Gaeta","Gaeta","Italy -Bike Gaeta"
"503","George Town, Penang Malaysia - Link Bike Sharing","http://www.linkbike.my/<br>35 bikes in 10 stations<br>Launch: December 17, 2016<br>Proposes 250 bike 25 station program for 2017<br>Source: http://www.thestar.com.my/metro/community/2016/08/31/bikeshare-system-in-penang-next-year-pilot-scheme-to-have-25-docking-stations-on-the-island/","operation",100.3383279,5.4168625,"0",NA,NA,"George Town, Penang Malaysia","Link Bike Sharing","George Town","Penang Malaysia"
"507","Gibraltar - GibiBikes","Operation problems caused shut down<br>Photo (http://www.facebook.com/photo.php?fbid=10150526075141823&set=a.8086461822.24231.8085941822&type=3&theater)<br>Due for replacement in 2014 Source (http://www.chronicle.gi/headlines_details.php?id=32714)<br>19 stations<br>Launched Autumn 2011<br>http://www.gibibikes.gi<br>Operator: Gibraltar Bus Company<br>System Creacom","stopped",-5.354376,36.141358,"0",NA,NA,"Gibraltar","GibiBikes","Gibraltar","Gibraltar"
"508","Gibraltar - Redbikes","delayed fall 2016<br>Scheduled<br>for Spring 2016<br>105 Bikes in 11 stations.<br>Replaces Gibibikes Source: http://www.chronicle.gi/headlines_details.php?id=36816<br>Equipment: Hourbike","planning",-5.35326,36.1388971,"0",NA,NA,"Gibraltar","Redbikes","Gibraltar","Gibraltar"
"513","Glyfada - Athens, Greece -i-bike","http://glyfada.easybike.gr/<br>CityBik.es Map (https://citybik.es/map/easybike-glyfada)<br>20 bikes in 2 stations<br>Launch: June 5, 2016<br>Operator: easybike<br>Equipment: EasyBike<br>Source:<br>http://bike-sharing-gr.blogspot.com/2016/06/i-bike.html","operation",23.7527847,37.8618441,"0",NA,NA,"Glyfada","Athens, Greece -i-bike","Glyfada","Glyfada"
"542","Guangzhou, Machong, Guangdong, China","2,500 bikes in 109 stations<br>Launch: December 1, 2016<br>(http://sports.sina.com.cn/outdoor/2016-11-30/doc-ifxyawmm3891643.shtml)<br>Underconstructionin July 2016 for 2,500 bikes in 109 stations for fall 2016<br>Source: http://news.21cn.com/caiji/roll1/a/2016/0725/06/31332348.shtml","operation",113.5861015,23.0539881,"0",NA,NA,"Guangzhou, Machong, Guangdong, China","Guangzhou, Machong, Guangdong, China","Guangzhou","China"
"561","Hailing Island, Guangdong, China Hailing Public Bicycle","160 bicycles in 6 stations<br>Launch: February 14, 2016<br>Source: http://yj.southcn.com/content/2016-02/19/content_142645047.htm","operation",111.8435669,21.5688545,"0",NA,NA,"Hailing Island, Guangdong, China Hailing Public Bicycle","Hailing Island, Guangdong, China Hailing Public Bicycle","Hailing Island, Guangdong","China Hailing Public Bicycle"
"562","Haimen Port, Nantong, Jiangsu, China","500 bikes in 20 stations<br>Launch: February 3, 2016<br>(http://ow.ly/XZ8or) Construction began in 2015 for 500 bikes to expand to 1,500 bikes in 50 stations<br>Source: http://js.ifeng.com/city/nt/detail_2015_11/24/4589901_0.shtml","operation",121.1064148,31.7865516,"0",NA,NA,"Haimen Port, Nantong, Jiangsu, China","Haimen Port, Nantong, Jiangsu, China","Haimen Port","China"
"598","Hengqin, Zuhai, Guandong, China","400 bicycles in 17 stations<br>Launch October 1, 2013 <br>Source (http://house.focus.cn/news/2013-09-06/3939273.html)","operation",113.550911,22.11407,"0",NA,NA,"Hengqin, Zuhai, Guandong, China","Hengqin, Zuhai, Guandong, China","Hengqin","China"
"609","Hoboken - Hudson County, New Jersey USA","https://hudsonbikeshare.com/<br>CityBik.es Map (https://citybik.es/map/hudsonbikeshare-hoboken)<br>120 bikes in 17 station in Hoboken<br>Launch: October 9, 2015<br>Source (http://www.hobokennj.org/2014/02/hoboken-jersey-city-weehawken-to-launch-regional-bike-share-system/) Planning on 250 bikes in 29 stations<br>After results of 25 bike 6 month pilot from that was launched June 1, 2013 - program combining bike share and rentals in Hoboken, Jersey City and Weehawken.<br>Source (http://www.nj.com/hudson/index.ssf/2013/12/hoboken_teams_up_with_jersey_city_and_weehawken_for_solar-powered_bike_share_program.html)<br>Equipment: Nextbike","operation",-74.031887,40.745826,"0",NA,NA,"Hoboken","Hudson County, New Jersey USA","Hoboken","Hoboken"
"650","Istanbul (Florya-Yeşilköy Districts) Turkey- Akıllı Bisiklet","https://www.isbike.com.tr/<br>CityBik.es<br>Map (https://citybik.es/map/baksi-istanbul)<br>60 bikes in 5 stations<br>Launch: April 28, 2016<br>Operator: ISPARK<br>Source: http://emlakkulisi.com/florya-yesilkoy-bisiklet-yolu-acildi/465246<br>","operation",28.818512,40.9556595,"0",NA,NA,"Istanbul (Florya-Yeşilköy Districts) Turkey- Akıllı Bisiklet","Istanbul (Florya-Yeşilköy Districts) Turkey- Akıllı Bisiklet","Istanbul (Florya-Yeşilköy Districts) Turkey- Akıllı Bisiklet","Istanbul (Florya-Yeşilköy Districts) Turkey- Akıllı Bisiklet"
"651","Istanbul (Kadikoy District), Turkey - Isbike","www.isbike.com.tr<br>CityBik.es Map (https://citybik.es/map/baksi-istanbul)<br>100 bikes in 10 stations<br>Launch May 3, 2013<br>reprise of 2012 system in public park (run by parking authority) now along a bike path<br>Source (http://www.kadikoylife.com/AKLL_BISIKLETLER_YENIDEN_HIZMETE_ACLD/3762)<br>Operator: Baksi Akıllı Bisiklet Sistemlerim","operation",29.070854,40.961752,"0",NA,NA,"Istanbul (Kadikoy District), Turkey","Isbike","Istanbul (Kadikoy District)","Turkey"
"658","Jersey City, New Jersey USA = CitiBike JC","https://www.citibikejc.com/<br>500 Bikes in 50 stations (included in NYC<br>count)<br>Launch September 21, 2015<br>Operated as part of the CitiBike New York program and is inter-operable<br>Contract awarded to Alta Bicycle Share/Motivate in January 2015. Issued RFP 2011. Mayor states in October 2014, he wants Jersey City program part of CitiBikeNYC. (For September 2016: http://www.nj.com/hudson/index.ssf/2016/07/jersey_city_unveils_new_citi_bike_locations.html)","operation",-74.047465,40.722218,"0",NA,NA,"Jersey City, New Jersey USA = CitiBike JC","Jersey City, New Jersey USA = CitiBike JC","Jersey City","New Jersey USA = CitiBike JC"
"706","Kailua-Kona, Hawaii, USA - BKHI","https://hawaiiislandbikeshare.org/<br>32 bikes in 3 stations<br>Launch: August 30, 2016<br>Source: http://westhawaiitoday.com/news/local-news/bikeshare-program-launched-kailua-kona http://bigislandnow.com/2016/08/29/bikeshare-kona-hawaii-island-launches-aug-30/#.V8VXoUnNBmY.twitter<br>Equipment: PBSC<br>","operation",-155.9933281,19.6369289,"0",NA,NA,"Kailua-Kona, Hawaii, USA","BKHI","Kailua-Kona","USA"
"725","Key West, Florida - Instabike","www.instabikekeywest.com<br>25 bikes<br>Launch: December 15, 2015<br>Equipment: Social Bicycles<br>","operation",-81.8060446,24.5606096,"0",NA,NA,"Key West, Florida","Instabike","Key West","Florida"
"731","King Abdullah Economic City, Saudi Arabia - iBike","CityBik.es (https://citybik.es/map/ibike-saudi-arabia-king-abdullah-economic-city)<br>Planning a 108 bicycle in 9 station program is being designed<br>Operator: Emaar<br>Equipment: nextbike","planning",39.081116,22.405633,"0",NA,NA,"King Abdullah Economic City, Saudi Arabia","iBike","King Abdullah Economic City","Saudi Arabia"
"737","Kochi, Kerala, India","In September 2016 the city transit issues expression of interest for public bicycle program<br>Source: http://timesofindia.indiatimes.com/city/kochi/Muttom-Palarivattom-trial-run-soon/articleshow/54002706.cms","planning",76.2615967,9.9350349,"0",NA,NA,"Kochi, Kerala, India","Kochi, Kerala, India","Kochi, Kerala","India"
"747","Kowloon, Hong Kong, China - SmartBike","westkowloon smartbike (http://www.westkowloon.hk/en/visit/smartbike)<br>50 bikes in 2 stations<br>Launch: April 14, 2014Source (http://www.scmp.com/news/hong-kong/article/1481128/cultural-district-now-has-wheel-appeal)","operation",114.173012,22.297673,"0",NA,NA,"Kowloon, Hong Kong, China","SmartBike","Kowloon","China"
"775","La Rochelle, France - yélo ","http://yelo-larochelle.fr/ (http://www.civitas-initiative.org/measure_sheet.phtml?id=346&language=en)<br><br>yélo (http://yelo.agglo-larochelle.fr/velo#!libre-service)<br>310 bikes in 65 stations (July 2015)<br>Launched: 2005<br>Relaunched: 2009 with 300 bikes in 54 stations<br>Equipment Homeport<br>Site of Yellow Bikes from 1974","operation",-1.148415,46.160334,"0",NA,NA,"La Rochelle, France","yélo ","La Rochelle","France"
"780","Lastovo, Croatia - nextbike","http://www.nextbike.hr/de/lastovo/<br>12 bikes in 2 stations<br>Launch: June 12, 2016<br>Equipment: Nextbike<br>Planning a small 2-3 station program for 2016 (http://www.croatiaweek.com/lastovo-island-joins-nextbike-public-bike-sharing-network/)","operation",16.8954921,42.7673519,"0",NA,NA,"Lastovo, Croatia","nextbike","Lastovo","Croatia"
"824","Lisbon, Portugal","Planning at program of 940 bikes and<br>470 Pedelecs in 140 stations for 2017 Source : (http://www.dn.pt/sociedade/interior/rede-de-bicicletas-partilhadas-em-lisboa-arranca-no-parque-das-nacoes-no-inicio-de-2017-5446923.html)(http://shifter.pt/2016/02/bicicletas-partilhadas-em-lisboa-passe-anual-vai-custar-36-euros/)<br>Possible private system (http://www.theportugalnews.com/news/new-bike-sharing-scheme-for-lisbon/34929)","planning",-9.1329,38.709759,"0",NA,NA,"Lisbon, Portugal","Lisbon, Portugal","Lisbon","Portugal"
"831","Liverpool, England, United Kingdom - City Bike","www.hourbike.com (http://www.hourbike.com/mysitecaddy/site3/locukliverpoolhome.htm)<br>O'Brien Bike Share Map (http://bikes.oobrien.com/liverpool/)<br>920 Bikes in 126 stations (July 2015)<br>650 bikes in 128 stations (March 2015)<br>600 bikes in 100 stations. (December 2014)<br>Launch: May 7, 2014 with 100 bikes in 10 stations expects<br>by March 2015, 1,000 bikes in 100 stations. Source III (http://www.liverpoolecho.co.uk/news/liverpool-news/liverpools-new-bike-hire-scheme-6863543)<br>Source (http://www.bbc.co.uk/news/uk-england-merseyside-21227459)<br>Equipment:Hourbike Source (http://www.baytvliverpool.com/vod/index.php?vid=NBV5305e97e838fa)","operation",-2.993431,53.409737,"0",NA,NA,"Liverpool, England, United Kingdom","City Bike","Liverpool","United Kingdom"
"832","Livorno, Italy - Bike Sharing Livorno","New program launches June 9,<br>2016. new equipment 54 bikes in 7 stations (http://www.gonews.it/2016/03/22/livorno-in-partenza-i-lavori-per-il-nuovo-bike-sharing/)(http://www.quilivorno.it/news/enti/novita-riparte-il-bike-sharing-nuovo-nome-nuove-postazioni-modello-milanese/)<br>Original Launch: November 19, 2012 with<br>24 bikes in 6 Stations <br>Source (http://www.bicizen.it/news/bike-sharing-livorno/)","operation",10.306377,43.550912,"0",NA,NA,"Livorno, Italy","Bike Sharing Livorno","Livorno","Italy"
"841","Long Beach, New York USA","Programs ends September 2013 after a massive hurricane destroys the beach area. <br>http://decobikelbny.com/ <br>250 bikes in 14 stations<br>Launched; June 27, 2012<br>Operator: Decobike","stopped",-73.637924,40.586842,"0",NA,NA,"Long Beach, New York USA","Long Beach, New York USA","Long Beach","New York USA"
